pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,solotodo_id,pcf_price,min_price,mode_price,mean_price
56892,nan,"Razer DeathAdder V2 X HyperSpeed - Ratón - ergonómico - diestro - óptico - 7 botones - inalámbrico - 2.4 GHz, Bluetooth - receptor inalámbrico USB",Razer,RZ01-04130100-R3U1,50.2,20,Ratones,Physical,not_found,False,0,0,0,,0,0,True,{},,148111,,45990,,56940
,100015288.0,Axis - Control panel - I8016-LVE,Axis,01995-001,1428.9,3,Paneles,Physical,,,,,,,,,,,,,,,,
,100015470.0,Axis D2110-VE Security Radar - Sensor de movimiento - cableado - blanco,Axis,01564-001,2080.2,4,Accesorios,Physical,,,,,,,,,,,,,,,,
,100016091.0,Kingston FURY Beast - DDR4 - módulo - 32 GB - DIMM de 288 contactos - 3600 MHz / PC4-28800 - CL18 - 1.35 V - sin búfer - no ECC - negro,Kingston Fury,KF436C18BB/32,305.7,18,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,126356,,312980,,346187
,100016684.0,Newland - 4-Slot Charger for M,Newland,NLS-CD6550-4C,126.0,1,Accesorios,Physical,,,,,,,,,,,,,,,,
,100016773.0,Zebra Handheld TC15 Kit for LATAM TC15,Zebra,KT-TC15-ROLATAM,510.8,20,Computadoras Handheld,Physical,,,,,,,,,,,,,,,,
,100017171.0,"ASTRO Gaming A10 Gen 2 - Auricular - tamaño completo - cableado - conector de 3,5 mm - lila",Astro Gaming,939-002077,70.0,8,Auriculares y Manos Libres,Physical,,,,,,,,,,,,155925,,64990,,76308
,100017420.0,"Zebra ET45 - Tableta - resistente - Android 11 - 64 GB UFS card - 8"" (1280 x 800) - lector de código de barras - 5G",Zebra,ET45CA-101D1B0-A6,819.5,5,Tableta,Physical,,,,,,,,,,,,393830,,1006848,,1006848
,100017737.0,"Zebra TC22 WLAN Wifi 6 SE4710 6"" Display 6GB/64GB 16MP RFC 5MP FFC 2-Pin Back I/O Standard Battery NFC BT USB-C GMS ROW",Zebra,WLMT0-T22B6ABC2-A6,554.2,20,Computadoras Handheld,Physical,,,,,,,,,,,,,,,,
,100017740.0,"Zebra TC27 - Terminal de recopilación de datos - resistente - Android - 64 GB - 6"" color (1080 x 2160) - cámara posterior + cámara frontal - lector de código de barras - (creador de imágenes 2D) - Host USB - Ranura para microSD - Bluetooth, NFC, Wi-F",Zebra,WCMTB-T27B6ABC2-A6,615.9,20,Computadoras Handheld,Physical,,,,,,,,,,,,,,,,
,100017868.0,"Poly Voyager 4320-M - Voyager 4300 UC series - auricular - en oreja - Bluetooth - inalámbrico, cableado - USB-C - negro - Certificado para Equipos de Microsoft, Certificado por Zoom",Poly,77Z30AA,116.6,7,Auriculares,Physical,,,,,,,,,,,,367034,,129900,,156182
,100018026.0,Kingston FURY Renegade - DDR4 - módulo - 8 GB - DIMM de 288 contactos - 3600 MT/s / PC4-28800 - CL16 - 1.35 V - sin búfer - no ECC - negro,Kingston Fury,KF436C16RB2/8,85.2,17,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,224563,,94252,100900,100434
,100018032.0,"HP - Kit de montaje (montaje VESA, soporte para montaje en pared) - para sistema de videoconferencia - para Poly Studio X30",Poly,875L6AA,75.18,6,Video Conferencia,Physical,,,,,,,,,,,,,,,,
,100018123.0,Kingston FURY Renegade - DDR4 - módulo - 32 GB - DIMM de 288 contactos - 3200 MT/s / PC4-25600 - CL16 - 1.2 V - sin búfer - no ECC - negro,Kingston Fury,KF432C16RB2/32,279.9,4,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,223067,,310000,,321951
,100018191.0,Kingston FURY Beast RGB - DDR5 - módulo - 8 GB - DIMM de 288 contactos - 5600 MT/s / PC5-44800 - CL36 - 1.25 V - sin búfer - on-die ECC - negro,Kingston Fury,KF556C36BBEA-8,134.1,4,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,257310,,144872,,155083
,100018310.0,Kingston FURY Renegade RGB - DDR5 - módulo - 48 GB - DIMM de 288 contactos - 6000 MT/s / PC5-48000 - CL32 - 1.35 V - sin búfer - on-die ECC - negro y plata,Kingston Fury,KF560C32RSA-48,738.0,2,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,229844,,816320,,843658
,100018322.0,Poly - Kit de montaje (montaje VESA) - para sistema de videoconferencia - para Poly Studio X52,Poly,875L9AA,224.0,1,Accesorios,Physical,,,,,,,,,,,,,,,,
,100018387.0,HyperX Clutch - Gaming Controller,HyperX,7D6H2AA,38.5,20,Controles,Physical,,,,,,,,,,,,,,,,
,100018483.0,Kingston Fury - DDR5 SDRAM - 6000 MHz - Registered - ECC - Renegade Pro,Kingston Fury,KF560R32RBE-32,970.2,4,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,386203,,1080348,,1147099
,100018518.0,Kingston Fury - DDR5 SDRAM - 24GB 7200MT/s DDR5 CL38 DIMM,Kingston Fury,KF572C38RSA-24,401.5,2,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,237011,,399990,,453490
,100018688.0,Poly Blackwire - 5220 - Handset,Poly,8X231AA,94.4,12,Auriculares,Physical,,,,,,,,,,,,257377,,88652,,93117
,100018931.0,Kingston Fury - DDR5 SDRAM - 5600 MHz - CL28 - Unbuffered - Non-ECC,Kingston Fury,KF556R28RBE2-32,875.3,10,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,245321,,949990,,986470
,100018995.0,HyperX - Mouse - Wireless - White - Haste 2 Core,HyperX,8R2E7AA,36.4,20,Ratones,Physical,,,,,,,,,,,,270375,,38790,38790,42349
,100019048.0,Hanwha - Camera cap adapter - SBP-120HMW,Hanwha,SBP-120HMW,32.4,9,Accesorios,Physical,,,,,,,,,,,,,,,,
,100019402.0,Logitech - cable - USB Active Cable for Meetup 2,Logitech,952-000195,146.1,2,Accesorios,Physical,,,,,,,,,,,,,,,,
,100019531.0,Poly Blackwire - 3210 - Headset - Wired - Monaural USB-C +USB-C/A Adapte,Poly,8X214A6,37.3,5,Auriculares,Physical,,,,,,,,,,,,260536,,,,
,100019594.0,POLY - Headset - Voyager Focus 2 Microsoft,Poly,9T9J6AA#AC3,188.32,4,Auriculares,Physical,,,,,,,,,,,,,,,,
,100019639.0,Jabra - Headphones - Evolve 20 USB C/A MS Stereo,Jabra,4999-823-169,50.7,20,Auriculares,Physical,,,,,,,,,,,,269060,,37664,,37664
,100019641.0,Jabra - Headphones - Evolve2 30 SE MS Stereo USB C,Jabra,23189-999-779,86.4,20,Auriculares,Physical,,,,,,,,,,,,269490,,92726,,97300
,100019643.0,Jabra - Headphones - Evolve 30 II USB C/A Stereo St,Jabra,5399-823-369,67.6,19,Auriculares,Physical,,,,,,,,,,,,268574,,77270,,79820
,100019680.0,Jabra Evolve 20 SE - Handset - Wired - USB-A / USB-C - MS Stereo,Jabra,4999-823-369,52.1,20,Auriculares y Manos Libres,Physical,,,,,,,,,,,,277308,,57950,,58570
,100019761.0,Jabra Evolve - 10 - Handset - USB-A - Leatherettes - Negro - 2699-820-109,Jabra,2699-820-109,24.1,20,Auriculares y Manos Libres,Physical,,,,,,,,,,,,278051,,26850,,28614
,100019921.0,Kingston Fury - DDR5 SDRAM - Non-ECC - Beast RGB EXPO,Kingston Fury,KF560C30BBEA-32,481.7,4,Módulos RAM - Genéricos,Physical,,,,,,,,,,,,377909,,497990,,543704
,100020155.0,JBL 104SET-BT-US JBL 104-BT Monitores Compactos de 4.5 pulg. con Bluetooth Negro - Venta en pares,JBL Pro,104SET-BT-US,168.4,20,Parlantes / Bocinas / Cornetas,Physical,,,,,,,,,,,,,,,,
,100020162.0,"JBL Pro 308P MkII - Powered 8"" Two-Way Studio Monitor - Bi-amplified - Matte black",JBL Pro,308PMKII,269.7,15,Parlantes / Bocinas / Cornetas,Physical,,,,,,,,,,,,,,,,
,100020191.0,Soundcraft EPM8 - Analog Mixer - Mezcladores de alto rendimiento y bajo costo,Soundcraft,SCR-RW5735US,293.7,20,Sistemas de Audio,Physical,,,,,,,,,,,,,,,,
,100020195.0,Soundcraft - Analog mixer - SCR-RW5736US,Soundcraft,SCR-RW5736US,328.1,12,Sistemas de Audio,Physical,,,,,,,,,,,,,,,,
,100020204.0,Soundcraft EFX8 - Analog mixer - 8 Channel Mono 2 Stereo,Soundcraft,SCR-E535000000EU,405.8,7,Sistemas de Audio,Physical,,,,,,,,,,,,,,,,
,100020221.0,JBL Pro - Speaker - JBL PRX ONE Powered Column PA,JBL Pro,JBL-PRX ONE-EK,1701.7,18,Parlantes / Bocinas / Cornetas,Physical,,,,,,,,,,,,,,,,
,100020223.0,JBL Pro - Speaker - EON ONE MK2 BATTERY POWERED CO,JBL Pro,JBL-EONONEMK2-EK,1257.7,20,Parlantes / Bocinas / Cornetas,Physical,,,,,,,,,,,,,,,,
,100020235.0,"JBL Pro COL600 Altavoz de columna delgada 24"" - blanco - 1 pieza",JBL Pro,JBL-COL600-WH,278.4,2,Parlantes / Bocinas / Cornetas,Physical,,,,,,,,,,,,,,,,
,100020288.0,AKG - K240 MKII - Headphones - Wired,AKG,K240 MKII,129.7,20,Auriculares,Physical,,,,,,,,,,,,70849,,149720,179990,169225
,100020292.0,AKG - Perception Wireless 45 Instrumental Set Band-A - Microphone,AKG,PERCEP WL 45 INST BDA,215.7,4,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020293.0,AKG - Perception Wireless 45 Presenter Set Band-A,AKG,PERCEP WL 45 PRES BDA,216.2,2,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020294.0,AKG - Perception Wireless 45 Sports Set Band-A - Microphone,AKG,PERCEP WL 45 SP BDA,260.4,8,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020295.0,AKG - Perception Wireless 45 Vocal Set Band-A - Microphone,AKG,PERCEP WL 45 VOCAL BDA,215.7,2,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020296.0,AKG - Perception Wireless 45 Vocal Set Band-A - Microphone,AKG,PERCEP WL 45 VOCAL BDB1,215.7,5,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020297.0,AKG - Perception Wireless 45 Vocal Set Band-A - Microphone,AKG,PERCEP WL 45 VOCAL BDB2,215.7,5,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020298.0,AKG - Perception Wireless 45 Vocal Set Band-A - Microphone,AKG,PERCEP WL 45 VOCAL BDC1,215.7,5,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020299.0,AKG - Perception Wireless 45 Vocal Set Band-A - Microphone,AKG,PERCEP WL 45 VOCAL BDC2,215.7,5,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020302.0,AKG - Perception Wireless 45 Vocal Set Band-A U2 - Microphone,AKG,PERCEP WL 45 VOCAL U2,215.7,5,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020303.0,AKG - Perception Wireless 45 Vocal Set Band-A BDC3 - Microphone,AKG,PERCEP WL 45 VOCAL BDC3,215.7,5,Micrófonos,Physical,,,,,,,,,,,,,,,,
,100020313.0,DBX - Loudspeaker Management System,DBX,DBX260V,691.9,9,Parlantes / Bocinas / Cornetas,Physical,,,,,,,,,,,,,,,,
,100020314.0,DBX - DI4 Active 4 Channel Direct Box with Line Mixer,DBX,DBXDI4,115.5,4,Accesorios,Physical,,,,,,,,,,,,,,,,
,100020315.0,DBX - Advanced Feedback Suppression Processor,DBX,DBXAFS2-V-EU,312.2,7,Sistemas de Audio,Physical,,,,,,,,,,,,,,,,
,100020325.0,DBX - Loudspeaker - DBXPA2-V-EU,DBX,DBXPA2-V-EU,462.1,19,Sistemas de Audio,Physical,,,,,,,,,,,,,,,,
,100020326.0,DBX - DriveRack VENU360 Complete Loudspeaker Management System,DBX,DBXVENU360-V-EU,919.9,3,Sistemas de Audio,Physical,,,,,,,,,,,,,,,,
