pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,catalog_provider,solotodo_id,pcf_price,min_price,mode_price,mean_price
56971,100019885.0,Poly - Video conferencing device - A3SV5AA#ABA,Poly,A3SV5AA#ABA,1771.6,1,Video Conferencia,Physical,ok,True,0,0,0,Barra de video All-In-One Poly Studio X32,0,0,False,{},,intcomex,,,,,
56972,100019914.0,Poly - Video conferencing device - Studio V12 USB Video Bar,Poly,A9DD8AA#ABA,921.48,3,Video Conferencia,Physical,ok,True,0,0,0,Barra de video All-In-One Poly Studio V12,0,0,False,{},,intcomex,,,,,
54614,100017475.0,Kingston FURY Impact - DDR5 - módulo - 32 GB - SO DIMM de 262 contactos - 5600 MT/s / PC5-44800 - CL40 - 1.1 V - sin búfer - on-die ECC,Kingston Fury,KF556S40IB-32,400.7,20,Módulos RAM - Genéricos,Physical,ok,True,0,0,0,Memoria RAM Notebook DDR5 32GB 5600Mhz Impact SoDimm,0,0,False,{},,intcomex,211875,,429990,,482312
35390,nan,Kensington - Laptop Locking Station,Kensington,K64454,43.9,4,Seguridad,Physical,ok,True,0,0,0,Estación de Seguridad Locking Station,0,0,False,{},,intcomex,,,,,
55826,nan,Lenovo - Docking station - Docking station stand - Lenovo Dual Display Dock IT Tr,Lenovo,40B90100IT,82.1,2,Accesorios para Portátiles,Physical,ok,False,0,0,0,Docking station USB-C Dual Display Travel,0,0,False,{},,intcomex,,,,,
55813,nan,"Lenovo - Mochila de transporte - 15,6"" - Negro",Lenovo,4X40T84059,10.5,20,Mochilas,Physical,ok,True,0,0,0,"Mochila para Notebook B210 Casual 16"" Negro",0,0,False,{},,intcomex,,,,,
54591,nan,"Epson - Caja de mantenimiento de repuesto - para WorkForce Pro EP-C800, WF-C5390",Epson,C12C938211,17.4,20,Suministros y Partes de Mantenimiento,Physical,ok,True,0,0,0,Caja de Mantenimiento de Tinta para Series WF-C5000 y WF-M5000,0,0,False,{},,intcomex,,,,,
49686,nan,Epson - T574620 - Ink refill - Light magenta,Epson,T574620-AL,8.6,20,Cartuchos de Toner e Ink-Jet,Physical,ok,True,0,0,0,Botella de Tinta Original Epson T574620-AL Magenta Claro,0,0,False,{},,intcomex,259303,,9732,13990,12260
32854,nan,"HP 950XL - 53 ml - Alto rendimiento - negro - original - cartucho de tinta - para Officejet Pro 251dw, 276dw, 8100, 8600, 8610, 8620, 8630",HP,CN045AL,59.4,2,Cartuchos de Toner e Ink-Jet,Physical,ok,True,0,0,0,Cartucho de Tinta Original HP 950 XL Negro ,0,0,False,{},,intcomex,259487,,64790,77990,70143
10600,nan,"HP 951 - 8 ml - amarillo - original - cartucho de tinta - para Officejet Pro 251, 276, 8100, 8600, 8600 N911, 8610, 8615, 8616, 8620, 8625, 8630, 8640",HP,CN052AL,25.0,20,Cartuchos de Toner e Ink-Jet,Physical,ok,True,0,0,0,Cartucho de Tinta Original HP 951 Amarillo ,0,0,False,{},,intcomex,259491,,26490,,29139
34079,nan,HP - 964XL - Ink cartridge - Black,HP,3JA57AL,52.6,4,Cartuchos de Toner e Ink-Jet,Physical,ok,True,0,0,0,Cartucho de Tinta Original HP 964 XL Negro ,0,0,False,{},,intcomex,259787,,59500,61990,64230
40531,nan,HP - 667XL - Ink cartridge - Tricolor - 3YM80AL,HP,3YM80AL,30.0,2,Cartuchos de Toner e Ink-Jet,Physical,ok,False,0,0,0,Cartucho de Tinta Original HP  667 XL Tricolor,0,0,False,{},,intcomex,259479,,34475,,38469
23420,nan,HP - Ink cartridge - Yellow - Model 954 700 pages,HP,L0S56AL,25.9,20,Cartuchos de Toner e Ink-Jet,Physical,ok,True,0,0,0,Cartucho de Tinta Original HP 954 Amarillo ,0,0,False,{},,intcomex,259513,,26900,,30970
32858,nan,"HP 26A - Negro - original - LaserJet - cartucho de tóner (CF226A) - para LaserJet Pro M402, MFP M426",HP,CF226A,151.9,4,Cartuchos de Toner e Ink-Jet,Physical,ok,True,0,0,0,Toner Original HP 26A LaserJet Negro,0,0,False,{},,intcomex,259615,,142900,,160183
39128,nan,"HP 87X - Alto rendimiento - negro - original - LaserJet - cartucho de tóner (CF287X) - para LaserJet Enterprise M506, MFP M527; LaserJet Enterprise Flow MFP M527; LaserJet Pro M501",HP,CF287X,357.5,2,Cartuchos de Toner e Ink-Jet,Physical,ok,True,0,0,0,Toner Original HP 87X Negro,0,0,False,{},,intcomex,260103,,339000,,397231
55663,nan,Kingston - DDR4 - módulo - 8 GB - SO-DIMM de 260 contactos - 3200 MT/s / PC4-25600 - CL22 - 1.2 V - sin búfer - no ECC,Kingston,KCP432SS8/8,76.4,20,Módulos RAM - Propietarios,Physical,ok,True,0,0,0,Memoria RAM Notebook 8GB SODIMM DDR4 3200 MHz,0,0,False,{},,intcomex,86666,,79990,,87484
