pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,catalog_provider
20281,100000226.0,Zebra LI2208 - Escáner de código de barras - PDA - creador de imágenes lineal - 547 exploraciones / segundo - descodificado - USB,nan,LI2208-SR7U2100SGW,68.2,20,nan,Physical,ok,True,1,1,1,Lector de Barra BLACK W/STAND USB,0,0,False,{},,ingram
55365,100002614.0,Zebra DS9308SR BLK 2D USB KIT DS9308SR00004ZZWW ALAMBRICO,nan,DS9308-SR4U2100AZW,133.4,11,nan,Physical,ok,True,1,16,16,Lector de Barra DS9308,0,0,False,{},,ingram
55822,100016880.0,"ZEBRA ZT231 TT Printer ; 4"", 203 dpi, Thermal Transfer, Tear, US Cord, USB, Serial, Ethernet, BTLE, USB Host, EZPL",nan,ZT23142-T01000FZ,738.8,20,nan,Physical,ok,True,1,50,+50,Impresora POS ZT231,0,0,False,{},,ingram
49677,100017132.0,"Epson - TM-T88VII - Impresora de recibos - Monocromo - Línea térmica - Rollo (7,95 cm) - 180 ppp - 500 mm/segundo - Wi-Fi / USB / LAN / Serial",nan,C31CJ57012,313.7,1,nan,Physical,ok,True,1,50,+50,Impresora POS Térmica TM-T88VII  USB / Ethernet,0,0,False,{},,ingram
55823,100017963.0,Zebra - Funda protectora PDA,nan,SG-TC2L-BOOT-01,49.0,20,nan,Physical,ok,True,1,23,23,Protector para Lector de códigos TC22/ TC27,0,0,False,{},,ingram
56170,nan,ASUS - TUF GAMING LC III 360 ARGB LCD,nan,90RC01A1-B0AAY0,140.3,20,nan,Physical,ok,True,1,29,29,Refrigeración Líquida TUF Gaming LC III 360 ARGB LCD,0,0,False,{},,ingram
19959,nan,"Kensington Universal - Funda con tapa para tableta - negro - 10""",nan,K97328WW,11.1,20,nan,Physical,ok,True,1,1,1,"Funda Universal Negra para Tablet de 9 y 10""",0,0,False,{},,ingram
54911,nan,Kensington Slim N17 Combination Laptop Lock for Wedge-Shaped Slot - Bloqueo de cable de seguridad,nan,K68008WW,28.5,20,nan,Physical,ok,True,1,5,5,Cable de Seguridad N17 K68008WW,0,0,False,{},,ingram
32886,nan,Kensington MicroSaver 2.0 Keyed Laptop Lock - Cable de seguridad - plata,nan,K65035AM,18.6,20,nan,Physical,ok,True,1,18,18,"Candado Notebook MicroSaver® 2.0 con llave 1,8mts",0,0,False,{},,ingram
52199,nan,Kensington Slim NanoSaver 2.0 Keyed Laptop Lock - Bloqueo de cable de seguridad - 1.8 m,nan,K65021WW,23.7,20,nan,Physical,ok,True,1,2,2,Cable de Seguridad NanoSaver™ SLIM para ultrabook 2.0,0,0,False,{},,ingram
52200,nan,Kensington Slim NanoSaver 2.0 Portable Keyed Laptop Lock - Bloqueo de cable de seguridad - 1.8 m,nan,K65025WW,23.7,20,nan,Physical,ok,True,1,20,20,Cable de Seguridad NanoSaver™ SLIM portátil para ultrabook 2.0,0,0,False,{},,ingram
6255,nan,KNS Apoya Muñecas para Teclado Foam - Negro,nan,K62383,8.8,20,nan,Physical,ok,True,1,100,+100,Apoya muñecas Foam Negro ,0,0,False,{},,ingram
55040,nan,ASUS - Carrying backpack - AP4600 Bag,nan,90XB08L0-BBP050,16.8,20,nan,Physical,ok,True,1,100,+100,Mochila AP4600 para Notebook 16“ Gris,0,0,False,{},,ingram
38998,nan,Kensington - Carrying backpack - mochila acolchada,nan,K68402WW,15.6,20,nan,Physical,ok,True,1,20,20,"Mochila Notebook SP25 2.0 14""-15,6"" ",0,0,False,{},,ingram
52303,nan,Kensington UH1400p - Estación de conexión - USB-C 3.2 Gen 1 - HDMI,nan,K33820WW,72.6,3,nan,Physical,ok,True,1,11,11,Docking Station UH1400P USB-C 4K ,0,0,False,{},,ingram
42553,nan,"Epson T555 - Photo Negro - original - recarga de tinta - para EcoTank L8160, L8180",nan,T555120-AL,18.5,20,nan,Physical,ok,True,1,100,+100,Botella de Tinta Original Epson T555120-AL Negro Fotográfico,0,0,False,{},,ingram
42554,nan,"Epson T555 - Cián - original - recarga de tinta - para EcoTank L8160, L8180",nan,T555220-AL,18.5,20,nan,Physical,ok,True,1,100,+100,Botella de Tinta Original Epson T555220-AL Cyan,0,0,False,{},,ingram
42555,nan,"Epson T555 - Magenta - original - recarga de tinta - para EcoTank L8160, L8180",nan,T555320-AL,18.5,2,nan,Physical,ok,True,1,100,+100,Botella de Tinta Original Epson T555320-AL Magenta,0,0,False,{},,ingram
42557,nan,"Epson T555 - Gris foto - original - recarga de tinta - para EcoTank L8160, L8180",nan,T555520-AL,18.5,20,nan,Physical,ok,True,1,100,+100,Botella de Tinta Original Epson T555520-AL Gris,0,0,False,{},,ingram
