pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,solotodo_id,pcf_price,min_price,mode_price,mean_price,categoria
15370,2550219,CINTA S015631,Epson,S015631,4.24,16,Suministros y Medios,Suministros Matriz de Punto,ok,True,0,0,0,Cinta S015631 LX-350,0,0,False,{},,260113,,,,,publish_ready
32720,2797123,TONER TN319BK NEGRO,Brother,TN319BK,78.12,2,Suministros y Medios,Suministros Láser,ok,True,0,0,0,Toner Original Brother TN-319 Negro,0,0,False,{},,259696,,115447,,142673,publish_ready
34024,3352833,CAJA MANTENIMIENTO T671000,Epson,T671000,14.91,4,Suministros y Medios,Suministros Inyección de Tinta,ok,True,0,0,0,Tanque de Mantenimiento T6710,0,0,False,{},,,,,,,publish_ready
54935,3606349,Soporte de pared para monitor VESA,Startech.Com,ARMWALL,26.27,2,Pantallas,"Brazos, Pedestales, Montaje p/Monitores",ok,True,0,0,0,Soporte de pared para monitor VESA,0,0,False,{},,,,,,,publish_ready
54951,4124698,Aruba 1G SFP LC LX 10km SMF XCVR,Aruba,J4859D,408.89,8,Dispositivos de Red,Transceivers,ok,True,0,0,0,Aruba 1G SFP LC LX 10km SMF XCVR,0,0,False,{},,,,,,,publish_ready
37717,4944992,SureTrack Dual Wireless Mouse - Blue,Kensington,K75350WW,10.17,1,Dispositivos de Entrada,Mouse,ok,True,0,0,0,Mouse Slimblade 2.0 Wireless Bluetooth Azul,0,0,False,{},,86250,,11500,,13820,publish_ready
39055,4988585,TINTA HP712 80 ML NEGRO,Hp,3ED71A,46.89,1,Suministros y Medios,Suministros Inyección de Tinta,ok,True,0,0,0,Cartucho de Tinta Original HP 712 Negro XL / 80ml,0,0,False,{},,259780,,55052,,64954,publish_ready
55192,5017195,SanDisk Ultra microSDHC 64 GB UHS-I,Sandisk,SDSQUNR-064G-GN3MA,12.58,1457,Dispositivos de Almacenamiento,Tarjetas de Memoria Flash,ok,False,0,0,0,Memoria 64GB SanDisk Ultra microSDXC UHS-I Card with Adapter,0,0,False,{},,135914,16990,14480,17990,17494,publish_ready
40443,5148500,GI-11 Magenta,Canon,4535C001,9.72,63,Suministros y Medios,Suministros Inyección de Tinta,ok,True,0,0,0,Botella de Tinta Original Canon GI-11 Magenta,0,0,False,{},,259699,,10726,13990,12743,publish_ready
55813,5685356,15.6IN LPT CASUAL BACKPACK B210,Lenovo,4X40T84059,9.74,3,Computadores Servidores y Notebooks,Bolsos y Mochilas p/Notebooks,ok,True,0,0,0,"Mochila para Notebook B210 Casual 16"" Negro",0,0,False,{},,,,,,,publish_ready
56053,5910989,POWERLITE L570U 4KE PROJECTOR,Epson,V11HA98020,2904.6,2,Dispositivos Audio/Video,Proyectores LCD,ok,True,0,0,0,"Proyector Epson PowerLite L570U, WUXGA, 5200 Lúmenes, 4K",0,0,False,{},,271091,3299990,2895331,,3071616,publish_ready
55876,6341643,ROG MAXIMUS Z890 HERO,Asus,90MB1ID0-M0EAY0,712.55,1,Componentes de Sistema,Tarjetas Madre Intel,ok,True,0,0,0,Placa Madre Intel ROG MAXIMUS Z890 HERO,0,0,False,{},,,,,,,publish_ready
54186,6507993,VGA TUF-RTX5070-O12G-GAMING//RTX5070 HDM,Asus,90YV0LZ0-M0AA00,811.07,10,Componentes de Sistema,Tarjetas Gráficas nVidia,ok,True,0,0,0,Tarjeta de Video TUF NVIDIA GeForce RTX 5070 12GB GAMING ,0,0,False,{},,,,,,,publish_ready
54922,6630924,MONITOR 27BN65QP-B 27IN 68.58CM IPS 2560,Lg,27BN65QP-B,193.95,4,Pantallas,Monitores LCD/LED,ok,True,0,0,0,"Monitor Profesional 27"" QHD Panel IPS, 75Hz Pivoteable 27BN65QP-B",0,0,False,{},,,,,,,publish_ready
