pcf_id,pcf_cost,pcf_stock,ingram_id,ingram_cost,ingram_stock,intcomex_id,intcomex_cost,intcomex_stock
940,20836.0,0.0,1189743,30.97,3.0,C9352AL,32.1,6.0
1771,57728.0,0.0,1230999,61.01,8.0,CE310A,61.8,20.0
1772,62882.0,0.0,1231000,67.76,34.0,CE311A,68.7,20.0
1773,63200.0,0.0,1231001,67.84,15.0,CE312A,68.8,20.0
1774,64354.0,0.0,1231002,67.91,29.0,CE313A,68.7,20.0
6255,6370.0,0.0,1694453,8.12,185.0,K62383,8.4,20.0
9007,13162.0,-1.0,1252840,13.88,43.0,CH561HL,14.8,20.0
9008,15979.0,0.0,1252841,16.95,156.0,CH562HL,17.3,16.0
11934,9828.0,0.0,2035404,10.52,754.0,CZ103AL,11.2,20.0
11935,10683.0,0.0,2035425,10.48,1107.0,CZ104AL,10.8,20.0
11936,11243.0,0.0,2035428,11.87,25.0,CZ113AL,11.7,20.0
11937,11278.0,0.0,2035430,11.83,15.0,CZ115AL,11.7,2.0
11938,11305.0,0.0,2035429,11.86,28.0,CZ114AL,11.6,2.0
11939,11315.0,0.0,2035431,11.86,13.0,CZ116AL,11.5,5.0
12291,56508.0,0.0,1966221,122.79,19.0,CF280A,135.3,20.0
12548,22547.0,2.0,2035426,24.19,357.0,CZ105AL,25.7,20.0
12949,6675.0,0.0,2342713,7.0,3979.0,T664120-AL,7.0,20.0
12951,6467.0,-1.0,2342714,6.82,1469.0,T664220-AL,7.0,20.0
12952,6467.0,-1.0,2342715,6.82,1399.0,T664320-AL,7.0,20.0
12956,6467.0,-1.0,2342716,6.84,1073.0,T664420-AL,7.0,20.0
13202,9313.0,1.0,2360612,10.52,216.0,T673220-AL,10.8,20.0
13204,9960.0,0.0,2360616,10.52,106.0,T673620-AL,10.5,20.0
13205,10065.0,0.0,2360615,10.52,104.0,T673520-AL,10.8,20.0
13207,10061.0,0.0,2360614,10.52,193.0,T673420-AL,11.0,20.0
14996,165887.0,0.0,2485873,173.39,4.0,C11CC24011,171.6,4.0
16631,71044.0,0.0,2489323,76.65,453.0,CF283A,77.9,20.0
17100,9653.0,0.0,2686056,10.11,9.0,LC509BK,10.2,20.0
17101,8455.0,0.0,2686053,8.91,4.0,LC505C,9.0,10.0
17308,16065.0,0.0,2584076,16.79,90.0,T774120-AL,16.9,20.0
18879,55120.0,537.0,2863102,62.57,78.0,HL-1212W,62.6,20.0
19094,71800.0,27.0,2851801,78.95,11.0,DR2340,78.5,20.0
19095,34600.0,57.0,2851802,38.04,216.0,TN2340,37.8,20.0
19096,52300.0,37.0,2851803,57.51,1026.0,TN2370,57.2,20.0
19204,6504.0,525.0,3292313,7.88,147.0,K72444ES,7.9,20.0
19839,41340.0,871.0,2902291,45.96,12.0,HL-1202,46.0,20.0
19884,17510.0,0.0,2839904,20.07,10.0,K62617WW,19.0,11.0
19959,10191.0,1.0,2893716,10.66,91.0,K97328WW,10.6,20.0
20281,61420.0,1.0,2446105,65.12,4.0,100000226.0,68.2,4.0
20550,5800.0,497.0,3002592,6.38,1690.0,BT5001C,6.4,20.0
