pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,catalog_provider,solotodo_id,pcf_price,min_price,mode_price,mean_price
19959,2893716,FUNDA UNIVERSAL TABLET 10 PULG K97328,Kensington,K97328WW,10.66,91,Computadores Servidores y Notebooks,Accesorios para Tablet PCs,ok,True,0,50,+50,"Funda Universal Negra para Tablet de 9 y 10""",0,0,False,{},,ingram,,,,,
39126,3161084,LASERJET PRO IMP M501DN B/N 45 PPM A4,Hp,J8H61A,305.52,43,Impresoras,Impresoras Láser/LED monocromáticas,ok,True,0,30,+30,Impresora Láser Blanco y Negro LaserJet  M501dn Ethernet / Dúplex,0,0,False,{},,ingram,28001,,350522,389990,415545
24361,3286831,Impresora PortÃ¡til Epson WF-100,Epson,C11CE05302,294.09,3,Impresoras,Impresoras de Inyección de Tinta,ok,True,0,1,1,Impresora Tinta Portatil con Bateria WF100,0,0,False,{},,ingram,58099,,337132,,365541
56097,3542833,BASE MONITOR SPIN2 NG 24 IN K52787WW,Kensington,K52787WW,22.48,60,Pantallas,"Brazos, Pedestales, Montaje p/Monitores",ok,True,0,50,+50,"Base para Notebook SmartFit Spin2 hasta 24"" - Negro",0,0,False,{},,ingram,,,,,
55318,4011437,Digital Sender Flow 8500 fn2 Scanner,Hp,L2762A,2175.2,18,Cámaras y Escáners,Escáners para el Hogar/Oficina,ok,True,0,18,18,Escaner Digital Sender Flow 8500 fn2,0,0,False,{},,ingram,,,,,
54951,4124698,Aruba 1G SFP LC LX 10km SMF XCVR,Aruba,J4859D,245.01,14,Dispositivos de Red,Transceivers,ok,True,0,14,14,Aruba 1G SFP LC LX 10km SMF XCVR,0,0,False,{},,ingram,,,,,
48849,4489382,DS-970 ESCANER DE DOCUMENTOS 85 PPM,Epson,B11B251201,864.58,5,Cámaras y Escáners,Escáners para el Hogar/Oficina,ok,True,0,5,5,Escaner DS-970 ,0,0,False,{},,ingram,,,,,
34153,4558868,BOTELLA T534120-AL 6K PAG,Epson,T534120-AL,13.14,638,Suministros y Medios,Suministros Fax/Fotocopiadoras,ok,True,0,100,+100,Botella de Tinta Original Epson T534120-AL Negro,0,0,False,{},,ingram,259584,,14994,,18062
35180,4606625,HP LASER MFP 137fnw,Hp,4ZB84A,111.38,101,Impresoras,Multifuncionales Láser Mono,ok,True,0,50,+50,Multifuncional Láser  M137fnw WiFi,0,0,False,{},,ingram,69050,,137990,,203564
36125,4695019,MULTIFUNCIONAL COLOR PIXMA G 6010,Canon,3113C005,179.15,76,Impresoras,Multifuncionales Inkjet,ok,True,0,50,+50,Multifuncional Tinta Continua Pixma G6010 Ethernet / WiFi / Dúplex,0,0,False,{},,ingram,67240,,199990,,222632
