pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,solotodo_id,pcf_price,min_price,mode_price,mean_price
,1000329,RACK PDU BASIC ZERO U 16A,Apc,AP9572,82.21,1,Protección Eléctrica y Racks,PDUs y Componentes,,,,,
,1005909,TONER HP 05X NEGRO 6500 PAG,Hp,CE505X,193.07,97,Suministros y Medios,Suministros Láser,260299,,115000,,207142
,1021818,TONER HP 55X NEGRO 6000 PAG,Hp,CE255X,272.57,35,Suministros y Medios,Suministros Láser,260104,,194900,,304974
,1096738,ZEBRA WHITE PVC CARDS 30 MIL 500 CARDS,Zebra,104523-111,48.47,59,Suministros y Medios,Tarjetas Identificación Etiq y Portadore,,,,,
,1138029,78A BLACK LJ TONER CART CE278A,Hp,CE278A,88.42,722,Suministros y Medios,Suministros Láser,260019,,8990,,98203
,1188584,ETIQUETA DK1201,Brother,DK1201,7.62,32,Componentes de Sistema,Componentes de Gabinete,,,,,
,1188586,ETIQUETA DK1204,Brother,DK-1204,7.26,49,Suministros y Medios,Etiquetas y Aplicadores,,,,,
,1188589,ETIQUETA DK1221,Brother,DK-1221,12.19,5,Suministros y Medios,Etiquetas y Aplicadores,,,,,
,1188657,CINTA M731,Brother,M-731,3.41,4,Suministros y Medios,Etiquetas y Aplicadores,,,,,
,1188673,CARTUCHO DE TINTA LC1100C CIAN,Brother,LC-1100C,10.01,10,Suministros y Medios,Suministros Inyección de Tinta,,,,,
,1188674,CARTUCHO DE TINTALC1100M MAGENTA,Brother,LC-1100M,10.01,15,Suministros y Medios,Suministros Inyección de Tinta,,,,,
,1198581,DOOR SWITCH SENSOR F/ ROOMS,Apc,NBES0302,76.85,2,Protección Eléctrica y Racks,Componentes UPS,,,,,
,1404445,DESK MOUNT CABLE ANCHOR,Kensington,K64613WW,4.97,5,Seguridad Física,Opciones de Seguridad Física y Accs,,,,,
,1504420,CARTUCHO DE TINTALC60BK NEGRO,Brother,LC-60BK,16.16,7,Suministros y Medios,Suministros Inyección de Tinta,,,,,
,1504421,CARTUCHO DE TINTA LC60C CIAN,Brother,LC-60C,8.58,6,Suministros y Medios,Suministros Inyección de Tinta,,,,,
,1504422,CARTUCHO DE TINTA LC60M MAGENTA,Brother,LC-60M,8.58,1,Suministros y Medios,Suministros Inyección de Tinta,,,,,
,1504423,CARTUCHO DE TINTA LC60Y AMARILLO,Brother,LC-60Y,8.58,5,Suministros y Medios,Suministros Inyección de Tinta,,,,,
,1540299,CINTA TZE131,Brother,TZE-131,11.6,48,Suministros y Medios,Etiquetas y Aplicadores,,,,,
,1540301,CINTA TZE631,Brother,TZE-631,11.0,1,Impresoras,Impresoras de Etiquetas Hogar/Oficina,,,,,
,1540302,CINTA TZE641,Brother,TZE-641,6.68,1,Suministros y Medios,Etiquetas y Aplicadores,,,,,
,1546502,CINTA TZE251,Brother,TZE-251,15.93,66,Suministros y Medios,Suministros Fax/Fotocopiadoras,400587,,20063,,20063
,1581461,12 LP4 to 2x SATA Power Y Cable Adapter,Startech.Com,PYO2LP4SATA,3.49,7,Cables,Cables de Poder,,,,,
,1581574,6 FT 2-IN-1 USB KVM CABLE,Startech.Com,SVUSB2N1_6,15.61,3,Cables,Cables Seriales y Adaptadores,,,,,
,1583975,Adaptador USB a PS/2 H a M,Startech.Com,GC46FMKEY,5.41,4,Cables,Cables Seriales y Adaptadores,,,,,
,1584725,DB9 to RJ45 Modular Adapter - F/F,Startech.Com,GC98FF,3.72,8,Dispositivos de Entrada/Salida,Tarjetas Seriales,,,,,
,1586371,Adaptador USB a PS/2 M a H,Startech.Com,GC46MF,3.35,4,Cables,Cables Seriales y Adaptadores,,,,,
,1587829,6 ft VGA Monitor Cable - HD15 M/M,Startech.Com,MXT101MM,7.7,2,Cables,Cables y Adaptadores de Audio,,,,,
,1587949,KIT DE MANTENIMIENTO MC-10,Canon,1320B014,67.01,22,Impresoras,Upgrades de Impresora,,,,,
