pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,solotodo_id,pcf_price,min_price,mode_price,mean_price
56188,3417087,APC Smart-UPS SRT 192V 8kVA and 10kVA Ba,Apc,SRT192BP2,1882.6,5,Protección Eléctrica y Racks,UPS,ok,False,0,0,0,APC Smart-UPS SRT 192V 8kVA and 10kVA Ba,0,0,True,{},,,,,,
56190,4213424,BACK UPS BV 650VA AVR UNIVERSAL OUT 230V,Apc,BV650I-MS,95.8,10,Protección Eléctrica y Racks,UPS,ok,False,0,0,0,BACK UPS BV 650VA AVR UNIVERSAL OUT 230V,0,0,True,{},,79205,,75690,,97938
56189,5604494,APC EASY UPS ON-LINE SRV RM 2000VA 1800W,Apc,SRV2KRIRK-E,744.26,3,Protección Eléctrica y Racks,UPS,ok,False,0,0,0,APC EASY UPS ON-LINE SRV RM 2000VA 1800W,0,0,True,{},,363653,,796940,,831039
54588,5868763,BAG T11A220-AL CYAN WF-C5890 5K PAG,Epson,T11A220-AL,49.13,466,Suministros y Medios,Suministros Inyección de Tinta,ok,False,0,0,0,Bolsa de Tinta Epson T11A220-AL Cyan,0,0,True,{},,259981,,53411,,60127
54589,5868764,BAG T11A320-AL MAGENTA WF-C5890 5K PAG,Epson,T11A320-AL,49.13,470,Suministros y Medios,Suministros Inyección de Tinta,ok,False,0,0,0,Bolsa de Tinta Epson T11A320-AL Magenta,0,0,True,{},,259980,,53411,,59575
54590,5868805,BAG T11A420-AL YELLOW WF-C5890 5K PAG,Epson,T11A420-AL,49.13,473,Suministros y Medios,Suministros Inyección de Tinta,ok,False,0,0,0,Bolsa de Tinta Epson T11A420-AL Amarilla,0,0,True,{},,259977,,53411,,59746
54586,5868806,BAG T11B120-AL BLACK XL WF-C5890 10K PAG,Epson,T11B120-AL,47.54,327,Suministros y Medios,Suministros Inyección de Tinta,ok,False,0,0,0,Bolsa de Tinta Epson T11B120-AL XL Negro,0,0,True,{},,259978,,47090,,56238
51059,5939666,TONER TN3609XXL DL RENDIMIENTO HASTA 110,Brother,TN3609XXL,120.35,87,Cámaras y Escáners,Escáners para el Hogar/Oficina,ok,False,0,0,0,Toner Original Brother TN-3609XXL Negro,0,0,True,{},,260399,,132830,,146676
56301,6152571,QUBE 500 FLATPACK MACARON EDITION,Cooler Master,Q500-DGNN-S00,77.12,14,Servicios y Garantías,Servicios de Implementación/Soporte,ok,False,0,0,0,QUBE 500 FLATPACK MACARON EDITION,0,0,True,{},,228477,,83978,,87979
56241,6332146,MSI MINI PC CUBI CUBI 5 12M-086BUS CI3,Msi,936-B0A811-086,219.8,54,Computadores Servidores y Notebooks,Computadores Small Form/Ultra Slim,ok,False,0,0,0,MSI MINI PC CUBI CUBI 5 12M-086BUS CI3,0,0,True,{},,,,,,
